ensembl,symbol,description,log2FoldChange,pvalue,padj,206161_sp_3d_tg,206176_sp_3d_tg,206177_sp_3d_tg,206167_sp_3d_tg,206168_sp_3d_tg,206214_sp_3d_tg,206229_sp_3d_tg,206174_sp_3d_wt,206175_sp_3d_wt,206158_sp_3d_wt,206165_sp_3d_wt,206166_sp_3d_wt,206215_sp_3d_wt,206227_sp_3d_wt
ENSMUSG00000096841,Gm25596,"predicted gene, 25596 [Source:MGI Symbol;Acc:MGI:5455373]",-0.738653762,0.015439538,0.166858637,8,13,14,4,4,12,18,19,23,22,19,10,14,18
ENSMUSG00000020024,Cep83,centrosomal protein 83 [Source:MGI Symbol;Acc:MGI:1924298],0.379623948,0.015444829,0.166858637,167,178,177,164,136,210,237,157,177,145,146,62,156,164
ENSMUSG00000116925,Gm49776,"predicted gene, 49776 [Source:MGI Symbol;Acc:MGI:6215291]",0.678081053,0.015523841,0.167610302,12,21,22,20,15,42,32,20,13,14,17,7,24,10
ENSMUSG00000031765,Mt1,metallothionein 1 [Source:MGI Symbol;Acc:MGI:97171],0.543541679,0.01553818,0.167663197,2824,2059,3493,4208,2363,3081,3801,1602,2120,2605,2040,2934,2254,1430
ENSMUSG00000085354,Gm2044,predicted gene 2044 [Source:MGI Symbol;Acc:MGI:3780212],-0.760158959,0.015556496,0.167758912,19,7,10,5,8,12,11,22,27,16,23,14,8,16
ENSMUSG00000103653,Gstp-ps,"glutathione S-transferase, pi, pseudogene [Source:MGI Symbol;Acc:MGI:3782108]",0.953938037,0.015580755,0.167918562,23,57,68,92,10,56,49,31,12,22,57,23,36,11
ENSMUSG00000038250,Usp38,ubiquitin specific peptidase 38 [Source:MGI Symbol;Acc:MGI:1922091],-0.357106164,0.015617309,0.168007759,47,51,50,57,43,82,73,90,72,74,100,46,91,60
ENSMUSG00000006519,Cyba,"cytochrome b-245, alpha polypeptide [Source:MGI Symbol;Acc:MGI:1316658]",-0.428312015,0.015609093,0.168007759,179,121,112,96,58,184,190,209,205,169,183,137,219,148
ENSMUSG00000062093,Gm10110,predicted gene 10110 [Source:MGI Symbol;Acc:MGI:3641718],0.628818076,0.015617409,0.168007759,46,61,20,26,33,56,60,22,38,41,30,17,19,32
ENSMUSG00000106019,Gm43672,predicted gene 43672 [Source:MGI Symbol;Acc:MGI:5663809],-0.753125016,0.015628074,0.168020712,12,13,6,15,9,17,17,21,11,36,38,15,25,10
ENSMUSG00000036112,Metap2,methionine aminopeptidase 2 [Source:MGI Symbol;Acc:MGI:1929701],0.278399527,0.015702752,0.16851757,961,788,738,926,857,1079,1061,782,819,958,778,596,725,750
ENSMUSG00000102850,Gm37082,"predicted gene, 37082 [Source:MGI Symbol;Acc:MGI:5610310]",-0.741711943,0.015690679,0.16851757,21,9,7,8,15,9,16,16,24,14,36,13,29,18
ENSMUSG00000100220,Gm29331,predicted gene 29331 [Source:MGI Symbol;Acc:MGI:5580037],-0.667765939,0.015695536,0.16851757,28,106,37,96,46,142,91,142,104,102,172,113,152,85
ENSMUSG00000049124,Gm8186,predicted gene 8186 [Source:MGI Symbol;Acc:MGI:3643110],0.753147085,0.015716658,0.16856495,117,98,186,166,22,217,155,57,70,96,121,73,111,47
ENSMUSG00000029998,Pcyox1,prenylcysteine oxidase 1 [Source:MGI Symbol;Acc:MGI:1914131],-0.51727523,0.015767473,0.169007902,157,138,108,112,57,174,141,169,153,151,199,241,178,147
ENSMUSG00000022018,Rgcc,regulator of cell cycle [Source:MGI Symbol;Acc:MGI:1913464],0.848382297,0.015782818,0.169070343,43,106,38,90,85,155,201,52,109,34,90,14,81,42
ENSMUSG00000027509,Rae1,ribonucleic acid export 1 [Source:MGI Symbol;Acc:MGI:1913929],0.461355756,0.015795211,0.169101109,202,291,278,249,399,403,397,234,316,288,284,117,308,174
ENSMUSG00000024150,Mcfd2,multiple coagulation factor deficiency 2 [Source:MGI Symbol;Acc:MGI:2183439],0.574847614,0.015876704,0.169871164,121,389,293,438,212,361,300,218,145,207,304,180,233,174
ENSMUSG00000028453,Fancg,"Fanconi anemia, complementation group G [Source:MGI Symbol;Acc:MGI:1926471]",-0.559095795,0.015898031,0.169996947,15,18,19,18,14,31,25,41,33,34,37,15,41,14
ENSMUSG00000037795,N4bp2,NEDD4 binding protein 2 [Source:MGI Symbol;Acc:MGI:2684414],-0.299059733,0.015918514,0.170113555,180,140,119,130,120,184,174,193,180,204,221,179,171,161
ENSMUSG00000031666,Rbl2,RB transcriptional corepressor like 2 [Source:MGI Symbol;Acc:MGI:105085],-0.265944875,0.01596492,0.17050688,194,138,120,134,137,178,188,185,214,192,258,148,214,146
ENSMUSG00000030068,Gm20696,predicted gene 20696 [Source:MGI Symbol;Acc:MGI:5313143],-0.495643208,0.015985503,0.170554343,151,74,68,59,124,110,102,116,176,166,162,115,160,116
ENSMUSG00000038481,Cdk19,cyclin-dependent kinase 19 [Source:MGI Symbol;Acc:MGI:1925584],-0.474020551,0.015988569,0.170554343,294,132,147,154,237,232,240,264,363,278,303,306,274,246
ENSMUSG00000038580,Sct,secretin [Source:MGI Symbol;Acc:MGI:99466],0.854255642,0.016015651,0.170740683,31,111,177,215,83,127,63,95,52,78,125,30,66,42
ENSMUSG00000027245,Hypk,huntingtin interacting protein K [Source:MGI Symbol;Acc:MGI:1914943],0.265574694,0.016037451,0.170794054,269,319,335,363,264,482,375,336,287,322,334,226,331,220
ENSMUSG00000104420,E230020A03Rik,RIKEN cDNA E230020A03 gene [Source:MGI Symbol;Acc:MGI:2442139],-0.901150971,0.01603989,0.170794054,36,18,30,7,20,26,31,60,129,44,38,21,31,17
ENSMUSG00000030055,Rab43,"RAB43, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1917084]",-0.273828742,0.016073699,0.171051509,104,94,92,119,82,142,126,151,146,136,189,104,118,104
ENSMUSG00000073616,Cops9,COP9 signalosome subunit 9 [Source:MGI Symbol;Acc:MGI:1914165],0.503568058,0.016207688,0.171093939,627,700,935,879,261,1079,859,514,466,552,770,477,678,361
ENSMUSG00000063659,Zbtb18,zinc finger and BTB domain containing 18 [Source:MGI Symbol;Acc:MGI:1353609],0.528451216,0.01621255,0.171093939,58,47,67,41,53,56,45,33,28,35,59,36,30,42
ENSMUSG00000026749,Nek6,NIMA (never in mitosis gene a)-related expressed kinase 6 [Source:MGI Symbol;Acc:MGI:1891638],0.44879112,0.016139654,0.171093939,200,316,344,390,176,409,296,230,223,227,406,134,273,154
ENSMUSG00000031007,Atp6ap2,"ATPase, H+ transporting, lysosomal accessory protein 2 [Source:MGI Symbol;Acc:MGI:1917745]",0.353673519,0.016196735,0.171093939,415,691,641,691,370,839,601,527,489,463,534,397,557,414
ENSMUSG00000001089,Luzp1,leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629],0.309021433,0.016145555,0.171093939,726,788,964,950,812,1021,815,760,785,911,976,402,752,608
ENSMUSG00000025337,Sbds,SBDS ribosome maturation factor [Source:MGI Symbol;Acc:MGI:1913961],0.411564257,0.016178061,0.171093939,267,411,468,486,329,547,394,380,351,344,501,150,372,228
ENSMUSG00000052131,Akr1b7,"aldo-keto reductase family 1, member B7 [Source:MGI Symbol;Acc:MGI:101918]",-1.00350817,0.016103722,0.171093939,19,70,70,56,34,81,30,116,23,102,272,28,137,100
ENSMUSG00000030276,Ttll3,"tubulin tyrosine ligase-like family, member 3 [Source:MGI Symbol;Acc:MGI:2141418]",-0.337616396,0.016127198,0.171093939,98,122,107,114,114,140,145,163,179,170,246,81,184,104
ENSMUSG00000030792,Dkkl1,dickkopf-like 1 [Source:MGI Symbol;Acc:MGI:1354963],-1.582437788,0.016191912,0.171093939,7,2,2,0,0,3,2,8,5,5,4,16,4,3
ENSMUSG00000102615,Gm37844,"predicted gene, 37844 [Source:MGI Symbol;Acc:MGI:5611072]",-0.741117819,0.016170538,0.171093939,6,10,7,10,8,15,4,20,16,16,18,12,14,8
ENSMUSG00000077505,Gm24233,"predicted gene, 24233 [Source:MGI Symbol;Acc:MGI:5454010]",-0.978981647,0.016108323,0.171093939,4,2,5,4,3,7,3,11,7,9,10,6,9,5
ENSMUSG00000022407,Adsl,adenylosuccinate lyase [Source:MGI Symbol;Acc:MGI:103202],0.381647643,0.016186548,0.171093939,72,91,62,90,50,103,89,60,64,89,72,35,74,48
ENSMUSG00000116347,Gm49416,"predicted gene, 49416 [Source:MGI Symbol;Acc:MGI:6155046]",0.448971062,0.016136411,0.171093939,39,48,42,47,29,47,38,30,42,39,30,19,28,32
ENSMUSG00000064105,Cnnm2,cyclin M2 [Source:MGI Symbol;Acc:MGI:2151054],-0.532007989,0.016198548,0.171093939,25,22,27,25,12,22,17,42,31,35,29,27,33,26
ENSMUSG00000050199,Lgr4,leucine-rich repeat-containing G protein-coupled receptor 4 [Source:MGI Symbol;Acc:MGI:1891468],-0.399957665,0.016223823,0.171111236,97,165,91,122,84,182,110,208,140,189,211,102,181,127
ENSMUSG00000044968,Napepld,N-acyl phosphatidylethanolamine phospholipase D [Source:MGI Symbol;Acc:MGI:2140885],-0.80220291,0.016285077,0.171280057,66,33,33,35,20,54,34,52,61,62,67,135,49,32
ENSMUSG00000041733,Coq5,coenzyme Q5 methyltransferase [Source:MGI Symbol;Acc:MGI:1098643],0.42492949,0.016316979,0.171280057,381,627,553,554,304,651,536,435,383,524,483,168,456,353
ENSMUSG00000030330,Ing4,"inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]",-0.348885635,0.016301592,0.171280057,128,74,90,92,69,112,96,116,146,118,178,116,108,87
ENSMUSG00000060002,Chpt1,choline phosphotransferase 1 [Source:MGI Symbol;Acc:MGI:2384841],-0.462426437,0.016268561,0.171280057,385,745,602,738,366,865,592,1013,724,942,1404,432,1051,644
ENSMUSG00000004356,Utp20,UTP20 small subunit processome component [Source:MGI Symbol;Acc:MGI:1917933],0.467694593,0.016286251,0.171280057,169,157,140,169,215,213,225,151,171,185,147,56,115,153
ENSMUSG00000031954,Cfdp1,craniofacial development protein 1 [Source:MGI Symbol;Acc:MGI:1344403],0.1588672,0.016290195,0.171280057,659,693,601,635,525,861,769,660,703,708,714,443,613,534
ENSMUSG00000020623,Map2k6,mitogen-activated protein kinase kinase 6 [Source:MGI Symbol;Acc:MGI:1346870],-0.735903608,0.016314848,0.171280057,23,18,12,19,8,33,7,28,21,27,33,27,23,38
ENSMUSG00000038500,Prr3,proline-rich polypeptide 3 [Source:MGI Symbol;Acc:MGI:1922460],-0.499558615,0.016297031,0.171280057,25,20,22,31,25,38,39,27,57,41,51,23,48,45
ENSMUSG00000073910,Mob3b,MOB kinase activator 3B [Source:MGI Symbol;Acc:MGI:2664539],-0.30492222,0.016338793,0.171407742,111,143,113,134,95,171,128,162,155,187,193,122,147,164
ENSMUSG00000033590,Myo5c,myosin VC [Source:MGI Symbol;Acc:MGI:2442485],0.322194921,0.016401739,0.171966517,232,187,146,178,170,190,161,143,183,174,157,470,141,128
ENSMUSG00000032423,Syncrip,"synaptotagmin binding, cytoplasmic RNA interacting protein [Source:MGI Symbol;Acc:MGI:1891690]",0.231905263,0.016455836,0.172431915,640,656,616,712,660,926,892,660,752,778,741,384,662,540
ENSMUSG00000036856,Wnt4,"wingless-type MMTV integration site family, member 4 [Source:MGI Symbol;Acc:MGI:98957]",-0.540936008,0.016525468,0.172750612,79,93,105,64,69,165,118,161,247,132,170,68,217,68
ENSMUSG00000070661,Rnf186,ring finger protein 186 [Source:MGI Symbol;Acc:MGI:1914075],-0.658609722,0.016544608,0.172750612,65,127,160,141,35,136,65,239,187,180,231,82,183,115
ENSMUSG00000029705,Cux1,cut-like homeobox 1 [Source:MGI Symbol;Acc:MGI:88568],-0.233948119,0.016538451,0.172750612,432,295,319,322,243,410,363,426,533,416,518,326,375,305
ENSMUSG00000030483,Cyp2b10,"cytochrome P450, family 2, subfamily b, polypeptide 10 [Source:MGI Symbol;Acc:MGI:88598]",-1.600393869,0.016535379,0.172750612,8,170,121,109,84,208,80,435,132,354,874,11,603,199
ENSMUSG00000058317,Ube2e2,ubiquitin-conjugating enzyme E2E 2 [Source:MGI Symbol;Acc:MGI:2384997],-0.474768808,0.01651476,0.172750612,41,20,28,35,30,30,26,50,59,38,47,37,42,31
ENSMUSG00000022848,Slc49a4,solute carrier family 49 member 4 [Source:MGI Symbol;Acc:MGI:2387188],-0.338673097,0.016540356,0.172750612,74,83,108,88,54,120,93,142,139,99,138,86,112,92
ENSMUSG00000027668,Mfn1,mitofusin 1 [Source:MGI Symbol;Acc:MGI:1914664],0.287188995,0.016599333,0.172814045,130,150,157,127,132,186,157,159,141,115,158,100,119,92
ENSMUSG00000036817,Sun1,Sad1 and UNC84 domain containing 1 [Source:MGI Symbol;Acc:MGI:1924303],-0.409703108,0.016598459,0.172814045,58,100,80,103,80,165,117,139,165,115,188,80,176,105
ENSMUSG00000030814,Bcl7c,B cell CLL/lymphoma 7C [Source:MGI Symbol;Acc:MGI:1332237],0.807719711,0.016595505,0.172814045,20,16,21,22,10,33,27,4,30,9,15,5,18,8
ENSMUSG00000025453,Nnt,nicotinamide nucleotide transhydrogenase [Source:MGI Symbol;Acc:MGI:109279],0.297418688,0.016574993,0.172814045,126,170,138,140,122,164,184,146,143,120,168,67,134,110
ENSMUSG00000033016,Nfatc1,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1 [Source:MGI Symbol;Acc:MGI:102469]",-0.418934542,0.016587504,0.172814045,89,81,97,70,83,138,155,147,186,116,226,83,161,83
ENSMUSG00000067297,Ifit1bl2,interferon induced protein with tetratricopeptide repeats 1B like 2 [Source:MGI Symbol;Acc:MGI:2148249],1.538800041,0.016614569,0.172871332,16,258,299,303,143,302,125,77,24,71,301,9,57,36
ENSMUSG00000020541,Tom1l1,target of myb1-like 1 (chicken) [Source:MGI Symbol;Acc:MGI:1919193],0.450619307,0.016643738,0.173073434,110,233,196,227,125,219,172,153,128,144,212,124,112,100
ENSMUSG00000078941,Ak6,adenylate kinase 6 [Source:MGI Symbol;Acc:MGI:5510732],0.34375258,0.016671961,0.173213148,197,246,228,246,132,304,295,216,235,202,166,150,170,174
ENSMUSG00000001383,Zmat2,"zinc finger, matrin type 2 [Source:MGI Symbol;Acc:MGI:1913742]",0.211885045,0.016676678,0.173213148,633,558,647,558,584,815,684,605,651,671,651,368,611,467
ENSMUSG00000024277,Mapre2,"microtubule-associated protein, RP/EB family, member 2 [Source:MGI Symbol;Acc:MGI:106271]",-0.298882507,0.016705317,0.173409193,448,315,258,253,264,409,373,384,511,387,515,379,416,326
ENSMUSG00000026834,Acvr1c,"activin A receptor, type IC [Source:MGI Symbol;Acc:MGI:2661081]",-0.452504864,0.016778711,0.173483223,47,48,25,33,36,64,50,51,51,59,91,39,78,57
ENSMUSG00000029147,Ppm1g,"protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform [Source:MGI Symbol;Acc:MGI:106065]",0.280388526,0.016766814,0.173483223,398,479,397,519,258,541,483,383,409,444,404,255,366,332
ENSMUSG00000031781,Ciapin1,cytokine induced apoptosis inhibitor 1 [Source:MGI Symbol;Acc:MGI:1922083],0.343380518,0.016780822,0.173483223,339,580,477,569,418,564,510,449,400,492,548,226,407,345
ENSMUSG00000090608,Gm17200,predicted gene 17200 [Source:MGI Symbol;Acc:MGI:4938027],-0.708924305,0.016751873,0.173483223,8,8,8,10,6,16,9,12,19,22,17,9,22,9
ENSMUSG00000051335,Gfod1,glucose-fructose oxidoreductase domain containing 1 [Source:MGI Symbol;Acc:MGI:2145304],-0.438098165,0.01676376,0.173483223,45,34,29,28,30,51,41,49,73,40,68,25,64,45
ENSMUSG00000022307,Oxr1,oxidation resistance 1 [Source:MGI Symbol;Acc:MGI:2179326],-0.26547202,0.016753299,0.173483223,226,169,158,167,113,231,212,222,282,206,286,185,240,156
ENSMUSG00000106967,Gm42477,predicted gene 42477 [Source:MGI Symbol;Acc:MGI:5662614],-1.239896667,0.016737477,0.173483223,9,6,7,4,0,1,3,21,12,6,20,7,6,4
ENSMUSG00000053192,Mllt11,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11 [Source:MGI Symbol;Acc:MGI:1929671]",0.371557918,0.016794186,0.173520381,74,50,64,48,44,62,64,42,52,48,56,36,54,37
ENSMUSG00000009731,Kcnd1,"potassium voltage-gated channel, Shal-related family, member 1 [Source:MGI Symbol;Acc:MGI:96671]",-1.27059343,0.016865873,0.173947624,5,3,4,4,1,2,2,7,9,3,6,15,4,6
ENSMUSG00000028309,Rnf20,ring finger protein 20 [Source:MGI Symbol;Acc:MGI:1925927],0.341537732,0.016860925,0.173947624,640,361,391,433,448,577,527,357,443,396,420,331,351,411
ENSMUSG00000044827,Tlr1,toll-like receptor 1 [Source:MGI Symbol;Acc:MGI:1341295],-0.717559124,0.016874712,0.173947624,10,9,5,9,8,13,22,18,26,15,25,11,26,9
ENSMUSG00000024583,Txnl1,thioredoxin-like 1 [Source:MGI Symbol;Acc:MGI:1860078],0.278969736,0.016856088,0.173947624,338,424,365,388,389,558,430,422,369,411,412,213,329,318
ENSMUSG00000108693,Gm45153,predicted gene 45153 [Source:MGI Symbol;Acc:MGI:5753729],-1.116639413,0.016898594,0.174029221,7,2,8,1,2,1,9,5,12,9,10,7,14,10
ENSMUSG00000003053,Cyp2c29,"cytochrome P450, family 2, subfamily c, polypeptide 29 [Source:MGI Symbol;Acc:MGI:103238]",-2.009043984,0.016902224,0.174029221,0,54,34,47,17,36,15,100,35,131,352,2,266,47
ENSMUSG00000056342,Usp34,ubiquitin specific peptidase 34 [Source:MGI Symbol;Acc:MGI:109473],0.250293599,0.01695714,0.174493495,1676,1318,1212,1334,1380,1390,1510,1244,1434,1372,1322,881,1312,1045
ENSMUSG00000033326,Kdm4a,lysine (K)-specific demethylase 4A [Source:MGI Symbol;Acc:MGI:2446210],0.362915383,0.016978813,0.174615343,175,150,258,220,136,257,221,150,155,184,208,149,170,115
ENSMUSG00000039396,Neil3,nei like 3 (E. coli) [Source:MGI Symbol;Acc:MGI:2384588],-0.408849929,0.017019109,0.174827296,30,39,31,38,29,44,46,55,54,55,63,23,53,51
ENSMUSG00000034653,Ythdc2,YTH domain containing 2 [Source:MGI Symbol;Acc:MGI:2448561],0.323239657,0.017010873,0.174827296,116,110,109,123,111,167,153,99,95,117,170,84,103,70
ENSMUSG00000019852,Arfgef3,ARFGEF family member 3 [Source:MGI Symbol;Acc:MGI:106387],0.448105068,0.017032529,0.174864013,314,187,168,136,131,199,176,162,170,140,135,472,109,142
ENSMUSG00000037253,Mex3c,mex3 RNA binding family member C [Source:MGI Symbol;Acc:MGI:2652843],0.541784466,0.01707822,0.175231812,70,201,155,252,149,297,206,173,160,158,168,77,134,85
ENSMUSG00000015668,Pdzd11,PDZ domain containing 11 [Source:MGI Symbol;Acc:MGI:1919871],0.462961859,0.017099312,0.175346931,78,100,112,112,55,109,84,96,57,60,109,38,82,53
ENSMUSG00000041453,Rpl21,ribosomal protein L21 [Source:MGI Symbol;Acc:MGI:1278340],0.449658177,0.017111111,0.175366672,76,55,40,57,32,78,58,43,50,42,42,43,32,40
ENSMUSG00000027875,Hmgcs2,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 [Source:MGI Symbol;Acc:MGI:101939],-0.560865607,0.017179416,0.175560189,403,242,216,310,428,941,400,589,707,547,743,393,715,656
ENSMUSG00000021850,ccdc198,coiled-coil domain containing 198 [Source:MGI Symbol;Acc:MGI:1914332],-2.031666083,0.017163651,0.175560189,40,2,3,6,1,2,5,39,20,44,3,76,10,25
ENSMUSG00000043631,Ecm2,"extracellular matrix protein 2, female organ and adipocyte specific [Source:MGI Symbol;Acc:MGI:3039578]",-0.65506517,0.017172916,0.175560189,73,25,18,15,26,35,36,64,67,46,59,31,65,40
ENSMUSG00000002768,Mea1,male enhanced antigen 1 [Source:MGI Symbol;Acc:MGI:96957],0.571179788,0.017148743,0.175560189,68,56,88,98,26,111,70,42,38,54,54,45,69,46
ENSMUSG00000102428,Pcdhga12,"protocadherin gamma subfamily A, 12 [Source:MGI Symbol;Acc:MGI:1935229]",-0.568885551,0.017149868,0.175560189,26,15,17,13,27,26,31,29,56,25,39,23,40,28
ENSMUSG00000036403,Cep135,centrosomal protein 135 [Source:MGI Symbol;Acc:MGI:2681869],0.330305149,0.017207541,0.175585511,165,99,113,109,124,143,124,102,117,107,132,89,91,85
ENSMUSG00000063694,Cycs,"cytochrome c, somatic [Source:MGI Symbol;Acc:MGI:88578]",0.533900426,0.017254943,0.175585511,136,381,337,313,192,349,288,244,181,265,292,88,241,151
ENSMUSG00000025591,Tma16,translation machinery associated 16 [Source:MGI Symbol;Acc:MGI:1913532],0.358527684,0.017211574,0.175585511,117,103,133,149,74,189,158,128,101,103,112,85,123,79
ENSMUSG00000015968,Cacna1d,"calcium channel, voltage-dependent, L type, alpha 1D subunit [Source:MGI Symbol;Acc:MGI:88293]",-0.338905662,0.01724155,0.175585511,199,126,101,128,106,160,166,198,210,176,203,175,165,142
ENSMUSG00000048376,F2r,coagulation factor II (thrombin) receptor [Source:MGI Symbol;Acc:MGI:101802],-0.59274537,0.017258573,0.175585511,291,306,216,206,405,612,474,484,1029,350,660,265,704,475
ENSMUSG00000001270,Ckb,"creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]",0.52913644,0.01724493,0.175585511,878,1433,1425,1470,1843,1656,1646,1161,1170,1248,1701,351,1219,956
ENSMUSG00000042729,Wdr74,WD repeat domain 74 [Source:MGI Symbol;Acc:MGI:2147427],0.405311063,0.017255474,0.175585511,99,123,95,109,50,140,119,80,77,99,82,78,69,72
ENSMUSG00000064336,mt-Tf,mitochondrially encoded tRNA phenylalanine [Source:MGI Symbol;Acc:MGI:102487],1.13494131,0.017260982,0.175585511,4,6,6,4,10,6,8,4,2,4,4,2,2,3
ENSMUSG00000028232,Tmem68,transmembrane protein 68 [Source:MGI Symbol;Acc:MGI:1919348],-0.457017704,0.017287154,0.175751078,23,46,36,44,31,69,60,71,63,70,67,34,72,57
ENSMUSG00000000532,Acvr1b,"activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]",-0.51062252,0.017298742,0.175768285,46,87,68,130,79,150,99,143,115,150,231,95,157,88
ENSMUSG00000026923,Notch1,notch 1 [Source:MGI Symbol;Acc:MGI:97363],-0.43730329,0.017363788,0.176272265,103,68,50,63,103,112,108,124,178,118,125,77,123,109
ENSMUSG00000031913,Vps4a,vacuolar protein sorting 4A [Source:MGI Symbol;Acc:MGI:1890520],0.269105243,0.017368192,0.176272265,256,231,253,305,211,267,246,228,267,226,242,143,220,203
ENSMUSG00000049086,Bmyc,brain expressed myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:88184],-0.664963414,0.017399508,0.176433447,66,38,39,40,19,56,45,78,53,64,62,110,55,43
ENSMUSG00000034032,Rpap1,RNA polymerase II associated protein 1 [Source:MGI Symbol;Acc:MGI:1916175],-0.376994316,0.017443593,0.176433447,61,50,30,51,47,56,70,76,87,58,90,55,73,52
ENSMUSG00000025287,Acot9,acyl-CoA thioesterase 9 [Source:MGI Symbol;Acc:MGI:1928939],0.549968876,0.017429901,0.176433447,39,43,57,71,25,46,46,41,38,21,55,23,34,23
ENSMUSG00000028861,Mrps15,mitochondrial ribosomal protein S15 [Source:MGI Symbol;Acc:MGI:1913657],0.295852668,0.017423211,0.176433447,289,459,384,433,313,553,425,367,334,371,479,211,366,290
ENSMUSG00000105895,Gm42829,predicted gene 42829 [Source:MGI Symbol;Acc:MGI:5662966],-0.888431609,0.01741006,0.176433447,10,11,4,3,2,9,10,14,12,16,20,16,8,6
ENSMUSG00000088254,Gm24289,"predicted gene, 24289 [Source:MGI Symbol;Acc:MGI:5454066]",1.30165015,0.017450808,0.176433447,5,4,3,9,10,16,2,4,3,2,2,5,2,2
ENSMUSG00000052812,Atad2b,"ATPase family, AAA domain containing 2B [Source:MGI Symbol;Acc:MGI:2444798]",0.18204176,0.01745361,0.176433447,594,541,527,592,410,711,652,506,554,613,646,340,571,438
ENSMUSG00000090458,Gm17122,predicted gene 17122 [Source:MGI Symbol;Acc:MGI:4937949],0.684521629,0.017468961,0.176488179,174,158,306,277,48,252,209,129,100,117,230,100,172,72
ENSMUSG00000009376,Met,met proto-oncogene [Source:MGI Symbol;Acc:MGI:96969],0.30548969,0.017482363,0.17652317,128,186,186,205,149,239,181,166,163,144,189,104,160,141
ENSMUSG00000039968,Rsbn1l,round spermatid basic protein 1-like [Source:MGI Symbol;Acc:MGI:3036237],-0.240481351,0.017492715,0.176527337,352,263,222,276,220,360,326,350,450,312,435,253,334,320
ENSMUSG00000017868,Sgk2,serum/glucocorticoid regulated kinase 2 [Source:MGI Symbol;Acc:MGI:1351318],1.669981809,0.017567075,0.177119464,1,65,79,58,32,46,7,15,4,16,44,5,11,8
ENSMUSG00000036534,Slc38a7,"solute carrier family 38, member 7 [Source:MGI Symbol;Acc:MGI:2679005]",0.480798715,0.017571336,0.177119464,44,62,64,78,49,59,99,61,36,47,72,39,47,36
ENSMUSG00000114048,4930549C15Rik,RIKEN cDNA 4930549C15 gene [Source:MGI Symbol;Acc:MGI:1922493],-1.205603771,0.017595723,0.177264685,7,2,0,3,1,4,4,8,11,2,11,4,8,6
ENSMUSG00000025860,Xiap,X-linked inhibitor of apoptosis [Source:MGI Symbol;Acc:MGI:107572],0.218878704,0.017617546,0.177383918,596,709,690,793,556,857,721,716,732,631,834,448,624,437
ENSMUSG00000042390,Gatad2b,GATA zinc finger domain containing 2B [Source:MGI Symbol;Acc:MGI:2443225],-0.247875963,0.017650014,0.177504801,687,486,456,453,475,608,603,651,776,674,773,528,600,599
ENSMUSG00000054426,A930005H10Rik,RIKEN cDNA A930005H10 gene [Source:MGI Symbol;Acc:MGI:1915411],-0.43414521,0.017659534,0.177504801,61,48,42,30,29,56,46,67,69,73,90,54,46,37
ENSMUSG00000010142,Tnfrsf13b,"tumor necrosis factor receptor superfamily, member 13b [Source:MGI Symbol;Acc:MGI:1889411]",-0.622759778,0.017656394,0.177504801,165,123,82,67,105,190,170,188,426,145,211,71,255,164
ENSMUSG00000063801,Ap3s2,"adaptor-related protein complex 3, sigma 2 subunit [Source:MGI Symbol;Acc:MGI:1337060]",-0.314230024,0.017701335,0.177824324,114,162,108,147,88,164,146,176,166,184,206,155,153,138
ENSMUSG00000028430,Nol6,nucleolar protein family 6 (RNA-associated) [Source:MGI Symbol;Acc:MGI:2140151],0.286487568,0.017754582,0.178174625,143,137,108,99,119,155,153,96,141,128,130,74,116,93
ENSMUSG00000022771,Ppil2,peptidylprolyl isomerase (cyclophilin)-like 2 [Source:MGI Symbol;Acc:MGI:2447857],-0.294393599,0.017756269,0.178174625,77,90,80,88,74,111,112,124,106,126,164,86,106,90
ENSMUSG00000095026,Gm3336,predicted gene 3336 [Source:MGI Symbol;Acc:MGI:3781514],-0.90960677,0.017800433,0.178347751,26,40,11,44,10,25,22,39,37,43,27,89,39,42
ENSMUSG00000033278,Ptprm,"protein tyrosine phosphatase, receptor type, M [Source:MGI Symbol;Acc:MGI:102694]",-0.359461398,0.017783963,0.178347751,138,103,86,100,99,123,154,159,251,146,155,104,136,120
ENSMUSG00000025208,Mrpl43,mitochondrial ribosomal protein L43 [Source:MGI Symbol;Acc:MGI:2137229],0.348946776,0.017803646,0.178347751,290,349,402,403,178,409,358,347,298,292,340,173,302,198
ENSMUSG00000021703,Serinc5,serine incorporator 5 [Source:MGI Symbol;Acc:MGI:2444223],-0.380141311,0.017833775,0.178548862,52,63,33,40,45,75,58,63,84,74,78,57,86,48
ENSMUSG00000036898,Zfp157,zinc finger protein 157 [Source:MGI Symbol;Acc:MGI:1919404],-0.432391894,0.017871492,0.178825675,47,34,21,40,38,53,50,65,84,61,67,31,53,38
